"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 15:27:50 GMT 2024","Fri Mar 22 15:28:00 GMT 2024","10082","tests","test_user_signup_and_checkout","","","","test_user_signup_and_checkout","
    Test user signup and checkout

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param fake: Faker instance

    :return: None
    "
"passed","Fri Mar 22 15:27:15 GMT 2024","Fri Mar 22 15:27:21 GMT 2024","5701","tests","test_invalid_signup","","","","test_invalid_signup[Brian--larson@example.net-password-password-Last name field is empty-Last name is required.]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:27:26 GMT 2024","Fri Mar 22 15:27:32 GMT 2024","5718","tests","test_invalid_signup","","","","test_invalid_signup[Brian-Larson-brianlarson1@example.net---Password field is empty-Password is required.]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:27:09 GMT 2024","Fri Mar 22 15:27:15 GMT 2024","6112","tests","test_invalid_signup","","","","test_invalid_signup[-Larson-brian@example.net-password-password-First name field is empty-First name is required.]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:27:01 GMT 2024","Fri Mar 22 15:27:08 GMT 2024","7008","tests","test_existing_user_login_and_checkout","","","","test_existing_user_login_and_checkout","
    Test existing user login and checkout

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param fake: Faker instance
    :param auth: Tuple of email and password of an existing user

    :return: None
    "
"passed","Fri Mar 22 15:27:38 GMT 2024","Fri Mar 22 15:27:44 GMT 2024","5719","tests","test_invalid_signup","","","","test_invalid_signup[Brian-Larson-brianlarson3@example.net-pass-password-Password is less than 6 characters-Password must meet the following rules]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:27:32 GMT 2024","Fri Mar 22 15:27:38 GMT 2024","5700","tests","test_invalid_signup","","","","test_invalid_signup[Brian-Larson-brianlarson2@example.net-password--Confirm password field is empty-Password is required.]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:27:21 GMT 2024","Fri Mar 22 15:27:26 GMT 2024","5715","tests","test_invalid_signup","","","","test_invalid_signup[Brian-Larson-brian_larson.net-password-password-Invalid email-Wrong email]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:27:44 GMT 2024","Fri Mar 22 15:27:49 GMT 2024","5739","tests","test_invalid_signup","","","","test_invalid_signup[Brian-Larson-brianlarson4@example.net-password-password1-Passwords do not match-The password and confirmation password do not match.]","
    Test invalid user signup

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param first_name: First name
    :param last_name: Last name
    :param email: Email
    :param password: Password
    :param confirm_password: Confirm password
    :param description: Test description
    :param expected_error_message: Expected error message

    :return: None
    "
"passed","Fri Mar 22 15:26:52 GMT 2024","Fri Mar 22 15:26:59 GMT 2024","6858","tests","test_cart_functionality","","","","test_cart_functionality","
    Test cart functionality

    :param driver: WebDriver instance
    :param wait: WebDriverWait instance
    :param fake: Faker instance
    :param auth: Tuple of email and password of an existing user

    :return: None
    "
